study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-02,symmetric,0.0,10,60,34075,-0.04062803278650068
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,10,1,34075,-0.030120443057959682
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,10,5,34075,-0.03906722600146666
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,10,30,34075,-0.04366359717094651
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,10,60,34075,-0.04062803278650068
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,50,1,33357,-0.029745283778516544
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,50,5,33357,-0.038769785051112955
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,50,30,33357,-0.04354307434121784
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,50,60,33357,-0.04098749427406566
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,50,1,33357,-0.029745283778516544
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,50,5,33357,-0.038769785051112955
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,50,30,33357,-0.04354307434121784
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,50,60,33357,-0.04098749427406566
crypto,BTCUSDT,2025-07-02,symmetric,0.0,50,1,33357,-0.029745283778516544
crypto,BTCUSDT,2025-07-02,symmetric,0.0,50,5,33357,-0.038769785051112955
crypto,BTCUSDT,2025-07-02,symmetric,0.0,50,30,33357,-0.04354307434121784
crypto,BTCUSDT,2025-07-02,symmetric,0.0,50,60,33357,-0.04098749427406566
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,50,1,33357,-0.029745283778516544
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,50,5,33357,-0.038769785051112955
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,50,30,33357,-0.04354307434121784
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,50,60,33357,-0.04098749427406566
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,200,1,31916,-0.028337819952374443
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,200,5,31916,-0.036921627092993604
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,200,30,31916,-0.04115196526350444
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,200,60,31916,-0.039736592694886906
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,200,1,31916,-0.028337819952374443
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,200,5,31916,-0.036921627092993604
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,200,30,31916,-0.04115196526350444
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,200,60,31916,-0.039736592694886906
crypto,BTCUSDT,2025-07-02,symmetric,0.0,200,1,31916,-0.028337819952374443
crypto,BTCUSDT,2025-07-02,symmetric,0.0,200,5,31916,-0.036921627092993604
crypto,BTCUSDT,2025-07-02,symmetric,0.0,200,30,31916,-0.04115196526350444
crypto,BTCUSDT,2025-07-02,symmetric,0.0,200,60,31916,-0.039736592694886906
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,200,1,31916,-0.028337819952374443
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,200,5,31916,-0.036921627092993604
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,200,30,31916,-0.04115196526350444
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,200,60,31916,-0.039736592694886906
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,10,1,106,-0.027488592452832753
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,10,5,106,-0.02610064528301736
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,10,30,106,-0.03699180943396176
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,10,60,106,-0.023714356603773332
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,10,1,106,-0.027488592452832753
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,10,5,106,-0.02610064528301736
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,10,30,106,-0.03699180943396176
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,10,60,106,-0.023714356603773332
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,10,1,106,-0.027488592452832753
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,10,5,106,-0.02610064528301736
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,10,30,106,-0.03699180943396176
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,10,60,106,-0.023714356603773332
